"id","robot","match","piece","pickup","score","level","success","time","phase"
1204,188,47,"hatch","preload","front-cargo","1","success",14073,"sandstorm"
1205,188,47,"cargo","floor","bot-cargo","1","success",5969,"sandstorm"
1206,188,47,"cargo","bot-hp","bot-cargo","1","success",5962,"sandstorm"
1207,188,47,"cargo","floor","bot-cargo","1","success",6798,"sandstorm"
1208,188,47,"cargo","top-hp","top-cargo","1","success",876,"sandstorm"
1209,188,47,"cargo","top-hp","top-cargo","1","success",3919,"sandstorm"
1210,188,47,"cargo","top-hp","top-cargo","1","success",1550,"sandstorm"
1211,188,47,"hatch","top-hp","dropped","0","dropped",25000,"sandstorm"
1212,746,47,"hatch","bot-hp","front-cargo","1","success",4933,"tele"
1217,1285,48,"hatch","preload","front-cargo","1","success",26604,"tele"
1218,1285,48,"cargo","top-hp","bot-cargo","1","success",12772,"tele"
1219,1285,48,"cargo","bot-hp","bot-cargo","1","success",4524,"tele"
1220,1285,48,"cargo","bot-hp","top-rocket-low","1","success",20821,"tele"
1221,7710,48,"hatch","preload","dropped","0","dropped",8621,"sandstorm"
1222,7710,48,"hatch","top-hp","front-cargo","1","success",12099,"tele"
1223,1334,48,"cargo","preload","top-cargo","1","attempted",11546,"tele"
1224,1334,48,"cargo","floor","top-cargo","1","attempted",8556,"tele"
1225,1334,48,"cargo","floor","top-cargo","1","attempted",10589,"tele"
1226,1334,48,"cargo","floor","top-cargo","1","success",7782,"tele"
1227,1334,48,"cargo","floor","top-cargo","1","success",10370,"tele"
1228,1334,48,"cargo","floor","dropped","0","dropped",8959,"tele"
1229,5036,48,"cargo","top-hp","front-cargo","1","success",1543,"tele"
1230,5036,48,"cargo","top-hp","top-cargo","1","success",4618,"tele"
1231,5036,48,"hatch","top-hp","front-cargo","1","success",25279,"tele"
1232,5036,48,"cargo","bot-hp","front-cargo","1","success",18411,"tele"
1233,7136,48,"cargo","preload","bot-cargo","1","success",15421,"sandstorm"
1234,7136,48,"cargo","bot-hp","dropped","0","dropped",6138,"tele"
1235,7136,48,"cargo","bot-hp","bot-cargo","1","success",18047,"tele"
1236,7136,48,"cargo","bot-hp","bot-cargo","1","success",75117,"tele"
