"robot","match","level","success","time","phase","id"
6397,55,1,"scored",NULL,"tele",633
5719,56,1,"scored",NULL,"sandstorm",634
5719,56,2,"scored",NULL,"tele",635
5911,56,2,"scored",NULL,"sandstorm",636
4308,56,1,"scored",NULL,"sandstorm",637
6878,56,1,"scored",NULL,"sandstorm",638
7690,56,2,"scored",NULL,"sandstorm",639
7690,56,1,"scored",NULL,"tele",640
7710,56,2,"scored",NULL,"sandstorm",641
7710,56,2,"scored",NULL,"tele",642
4252,57,2,"none",NULL,"sandstorm",643
4252,57,1,"scored",NULL,"tele",644
4939,57,1,"scored",NULL,"sandstorm",645
4939,57,1,"scored",NULL,"tele",646
2706,57,2,"scored",NULL,"sandstorm",647
2706,57,1,"scored",NULL,"tele",648
7520,57,2,"scored",NULL,"sandstorm",649
746,57,2,"scored",NULL,"sandstorm",650
746,57,3,"scored",NULL,"tele",651
7476,58,1,"scored",NULL,"sandstorm",652
7476,58,1,"scored",NULL,"tele",653
1285,58,1,"scored",NULL,"sandstorm",654
1285,58,3,"scored",NULL,"tele",655
6867,58,2,"scored",NULL,"sandstorm",658
6867,58,1,"scored",NULL,"tele",659
5406,58,2,"scored",NULL,"sandstorm",660
5406,58,3,"scored",NULL,"tele",661
5076,59,2,"none",NULL,"sandstorm",662
5076,59,1,"scored",NULL,"tele",663
1334,59,2,"scored",NULL,"sandstorm",664
1334,59,1,"scored",NULL,"tele",665
919,59,1,"scored",NULL,"sandstorm",666
1246,59,1,"scored",NULL,"sandstorm",667
1246,59,1,"scored",NULL,"tele",668
188,60,1,"scored",NULL,"sandstorm",669
188,60,3,"scored",NULL,"tele",670
5031,60,2,"scored",NULL,"sandstorm",671
5031,60,1,"scored",NULL,"tele",672
5036,60,1,"scored",NULL,"sandstorm",674
5039,60,2,"scored",NULL,"sandstorm",677
5039,60,1,"scored",NULL,"tele",678
